,id,author_id,text,created_at,Keyword
27,1449514616267157508,1371365795679375361,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/VQh41IQXPS,2021-10-16T23:16:29.000Z,YHOO
28,1449514601071140867,7309052,"In a place like New Hampshire, where Republicans are hoping to win back congressional seats next year, politicians with fringe views stand to distract voters from the party’s agenda, driving away independents and moderates. https://t.co/aG0kXYg3Wz",2021-10-16T23:16:26.000Z,YHOO
29,1449514512701394951,2798623182,Texans place LT Laremy Tunsil on injured reserve among other roster moves https://t.co/m4lbhqg1bV,2021-10-16T23:16:05.000Z,YHOO
30,1449514441943437315,1309891560100827136,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/dyRzQuvkir,2021-10-16T23:15:48.000Z,YHOO
31,1449514410830090243,1349351552058863619,"Hateful rhetoric like this is dangerous &amp; unacceptable,' a State Department spokesperson told AFP in response to the speech last week by Daniel Kibret an adviser to #Abiy and was nominated to the board of #Ethiopian Press Agency last year. #TigrayGenocide https://t.co/cSb1NPQOPa",2021-10-16T23:15:40.000Z,YHOO
32,1449514228847685636,1349351552058863619,"150 people starved to death in August at Ethiopia’s embattled Tigray region amid a near-complete blockade of food aid by federal and allied authorities, the Tigray forces say, while close to half a million people face famine conditions. #StopTigrayFamine https://t.co/JwpHK5GXVt",2021-10-16T23:14:57.000Z,YHOO
33,1449513989818433537,1137570248532647936,RT @YahooFinance: Apple Watch Series 7 review: A bigger screen and more durable design https://t.co/X3ateHbMho by @DanielHowley https://t.c…,2021-10-16T23:14:00.000Z,YHOO
34,1449513807932366849,18420573,RT @YahooFinance: Apple Watch Series 7 review: A bigger screen and more durable design https://t.co/X3ateHbMho by @DanielHowley https://t.c…,2021-10-16T23:13:17.000Z,YHOO
35,1449513682749345797,19546277,Apple Watch Series 7 review: A bigger screen and more durable design https://t.co/X3ateHbMho by @DanielHowley https://t.co/AlMJPGjvL4,2021-10-16T23:12:47.000Z,YHOO
36,1449512835550228485,1433162036041732098,Millions of Tigrayans are in dire conditions and many are dying from Ethiopia's man-made famine. EU must act immediately to end the blockade and recognize the #TigrayGenocide. #EUActNow @luigidimaio @JosepBorrellF @Mariearenaps @EUSR_Weber @FMCastaldo https://t.co/87gth5Rbi3,2021-10-16T23:09:25.000Z,YHOO
37,1449512533602312202,998305428219023360,@TimesLIVE Yhoo I hope this isn’t true. She’s worked hard to build her brand.,2021-10-16T23:08:13.000Z,YHOO
38,1449512165455564801,242428202,"@nthabiseng_enny Yhoo wa tseba people will do anything for di likes

Ke swabile nko go feta molomo wa phapha omo sorte out",2021-10-16T23:06:45.000Z,YHOO
