,id,author_id,text,created_at,Keyword,geo
23,1449767136793018374,1300469293637873670,"BREAKING NEWS!  AIRDROP!

MORE INFO:

#ETH #ETHEREUM #btc #bitcoin 

https://t.co/YKbZZOI7Z0",2021-10-17T15:59:55.000Z,bitcoin,
24,1449767136231149568,1438149999871741956,"RT @biancoresearch: 1/2

Nearly 50% of the hash rate of the bitcoin blockchain, pulled the plug, packed up, and relocated to another countr…",2021-10-17T15:59:55.000Z,bitcoin,
25,1449767135954317312,1308245208,"RT @jessicanono1: Acheter le #bitcoin en fcfa @EjaraApp est la solution 

Ça vous évite de vous faire arnaquer. https://t.co/aZ5Bw0RMK3",2021-10-17T15:59:55.000Z,bitcoin,
26,1449767135341916162,2437450262,"RT @LovecoinProject: ❤️10,000,000 LOVECOIN GIVEAWAY RAFFLE CONTEST❤️

RETWEET THIS POST &amp; POST YOUR LOVECOIN ADDRESS IN THE COMMENT SECTION…",2021-10-17T15:59:55.000Z,bitcoin,
27,1449767134129754112,1398671816000950277,RT @yusufalemdars: @kerimcalender Bitcoin’in işi daha bitmedi bence.. Bir Fomo Oluşmuş değil Bitcoin’de. Büyük Şirketlerin Alımları ve Musk…,2021-10-17T15:59:54.000Z,bitcoin,
28,1449767133521534977,1444278817502208000,🐳🚨 Bitcoin Whale Alert: [ TX: 7e67fb6a8822ad626bdb1c4c8e43e82740aa21e5b2895df69acbf387ba190b57 ]-[ ADDR: 33XPCB7Rqn22JdUuhWESnFskidoPX5jHHJ ]-[ #BTC: 36.80541631 ]-[ BLOCK_DATE: 2021-10-17 17:33:14 ] #btc_whale_alert #bitcoin,2021-10-17T15:59:54.000Z,bitcoin,
29,1449767130468134920,24511990,RT @Spectura: Bitcoin için LTH Supply Shock şu anda akümukasyonun zirve noktasında. Buradan sonra olası bir distributionda piyasanın daha ö…,2021-10-17T15:59:53.000Z,bitcoin,
30,1449767129599807489,1351512454556053506,"In 5 years, #bitcoin has gone up 100x, from $625 in October 2016, to $62,500 today.

That’s ONE HUNDRED TIMES return. An amazing investment, and the #secret is to #HODL. https://t.co/NZCm3oNwNE https://t.co/sYvgvNkiYb",2021-10-17T15:59:53.000Z,bitcoin,
31,1449767127234273292,1288825467219345408,"RT @AirdropDet: 🔍 New #Airdrop: Red Floki Inu

💲Reward: Up to $15 worth of REDFLOKI+$25K worth of REDFLOKI referral pool

🔴Start the airdro…",2021-10-17T15:59:53.000Z,bitcoin,
32,1449767126965751808,1447147703809368066,"RT @Robbery58673865: @AirdropDet Amazing project with amazing planning. That make this project grow up quickly, i'm very glad to be here an…",2021-10-17T15:59:53.000Z,bitcoin,
